Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,power_log,Brand,Model
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,First,14.69,2993,258,5,11.57,48.63,10.21511806,3.884240624,5.552959585,BMW,5
Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,Second,14.16,1968,174.3,5,11.57,39.47,10.6630543,3.67554089,5.160777953,Audi,Q5
BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995,190,5,48.18,22.24,10.6517146,3.101892469,5.247024072,BMW,X1
Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,19.2,1197,80,5,11.57,2.6,9.952277717,0.955511445,4.382026635,Hyundai,i10
Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1582,126.2,5,11.57,12,10.916905,2.48490665,4.83786795,Hyundai,Creta
Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,70000,Diesel,Automatic,First,17.11,1968,174.33,5,11.57,18,11.15625052,2.890371758,5.160950055,Audi,A4
Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,55000,Petrol,Automatic,Third,10.13,3498,364.9,5,11.57,9.99,10.91508846,2.301584593,5.899623343,Mercedes-Benz,S
Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,20.36,1197,78.9,5,11.57,2.45,10.97224183,0.896088025,4.368181228,Hyundai,i10
Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,23,1498,98.96,5,11.89,8.99,10.16585182,2.196112848,4.594715728,Ford,EcoSport
Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,20.54,1598,103.6,5,11.57,3.15,10.46310334,1.147402453,4.64053733,Volkswagen,Vento
Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248,73.75,5,10.48,8.2,10.08580911,2.104134154,4.300680995,Maruti,Dzire
Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1997,120,7,11.57,11.5,11.49272276,2.442347035,4.787491743,Mahindra,Scorpio
Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1396,88.73,5,11.57,7.3,10.70295229,1.987874348,4.485598051,Hyundai,i20
Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,First,19.7,796,46.3,5,11.57,1.59,11.08214255,0.463734016,3.835141961,Maruti,Alto
Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,Second,20.36,1197,78.9,5,11.57,3.15,10.46170236,1.147402453,4.368181228,Hyundai,i10
Mahindra Scorpio S6 7 Seater,Kolkata,2015,52373,Diesel,Manual,Second,15.4,2179,120,7,11.57,8.5,10.86614647,2.140066163,4.787491743,Mahindra,Scorpio
Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,66285,Diesel,Manual,First,19.5,1199,75,5,11.57,3,11.10171891,1.098612289,4.317488114,Skoda,Fabia
BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,First,15.3,2993,258,5,11.57,21,11.09741002,3.044522438,5.552959585,BMW,X5
Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498,98.6,5,11.57,7.75,10.66895539,2.047692843,4.591071262,Honda,Jazz
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,Diesel,Automatic,First,10,2148,170,5,11.57,23,10.71885237,3.135494216,5.135798437,Mercedes-Benz,E-Class
Mahindra XUV500 AT W10 FWD,Mumbai,2016,41000,Diesel,Automatic,First,16,2179,140,7,11.57,13.75,10.62132735,2.621038824,4.941642423,Mahindra,XUV500
Honda City i VTEC CVT SV,Kochi,2017,39430,Petrol,Automatic,First,18,1497,117.3,5,11.57,8.29,10.58228223,2.115049969,4.764734756,Honda,City
Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,22.9,1248,74,5,11.57,5.79,11.32989165,1.756132292,4.304065093,Maruti,Swift
Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,First,14.84,2143,170,5,11.57,30.5,10.38356527,3.417726684,5.135798437,Mercedes-Benz,New
Honda City 1.5 S MT,Mumbai,2011,49999,Petrol,Manual,First,17,1497,118,5,11.57,3.8,10.81975828,1.335001067,4.770684624,Honda,City
Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,First,15.3,2956,83.8,7,11.57,4.45,11.09741002,1.492904096,4.428433007,Tata,Sumo
Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,First,18.5,1197,82.85,5,11.57,3.3,10.89673933,1.193922468,4.417031744,Hyundai,i20
Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,Second,20.4,1248,91.2,5,11.57,1.75,11.28978191,0.559615788,4.513054897,Fiat,Linea
Honda Civic 2006-2010 1.8 V AT,Bangalore,2011,72000,Petrol,Automatic,Second,12.9,1799,130,5,11.57,5.5,11.1844214,1.704748092,4.86753445,Honda,Civic
Hyundai Creta 1.6 SX Plus Diesel,Pune,2017,44865,Diesel,Manual,First,19.67,1582,126.2,5,11.57,13.35,10.71141326,2.591516385,4.83786795,Hyundai,Creta
Audi A3 35 TDI Technology,Delhi,2017,22000,Diesel,Automatic,Second,20.38,1968,143,5,11.57,22.5,9.998797732,3.113515309,4.96284463,Audi,A3
Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,Second,17,1591,121.3,5,13.59,5.25,10.95915754,1.658228077,4.798266816,Hyundai,Verna
Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,75000,Diesel,Manual,First,21.9,1396,90,5,11.57,3.75,11.22524339,1.32175584,4.49980967,Hyundai,i20
Honda Mobilio S i DTEC,Kochi,2015,50624,Diesel,Manual,First,24.2,1498,98.6,7,11.57,6.32,10.83218105,1.843719208,4.591071262,Honda,Mobilio
Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,Diesel,Automatic,First,22.32,1582,126.32,5,11.57,7.75,11.22524339,2.047692843,4.83881837,Hyundai,Verna
Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,87000,Petrol,Manual,Second,15.3,1596,101,5,11.57,1.37,11.3736634,0.31481074,4.615120517,Ford,Fiesta
Hyundai i10 Sportz 1.2,Mumbai,2010,62000,Petrol,Manual,First,20.36,1197,78.9,5,11.57,2.1,11.03488966,0.741937345,4.368181228,Hyundai,i10
Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248,88.5,5,11.02,9.3,10.6303596,2.2300144,4.483002552,Maruti,Vitara
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,70000,Diesel,Manual,First,12.99,2494,100.6,7,11.57,12,11.15625052,2.48490665,4.611152258,Toyota,Innova
Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,First,17.9,2143,136,5,41.94,23.5,10.46310334,3.157000421,4.912654886,Mercedes-Benz,GLA
Maruti Alto LXi BSIII,Hyderabad,2006,71993,Petrol,Manual,First,19.7,796,46.3,5,11.57,1.8,11.18432417,0.587786665,3.835141961,Maruti,Alto
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,62000,Diesel,Automatic,Second,14.84,2143,170,5,11.57,12.5,11.03488966,2.525728644,5.135798437,Mercedes-Benz,New
Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,22.9,1248,74,5,11.57,4.74,10.83958091,1.556037136,4.304065093,Maruti,Swift
Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,First,18.9,1197,82,5,11.57,5.43,10.16731229,1.691939134,4.406719247,Hyundai,Grand
Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,Second,12.55,2982,168.5,7,11.57,31.62,10.53776014,3.453789832,5.12693575,Toyota,Fortuner
Toyota Innova 2.0 GX 8 STR,Kolkata,2011,78088,Petrol,Manual,First,12.4,1998,132,8,11.57,6.3,11.26559167,1.840549633,4.882801923,Toyota,Innova
Ford EcoSport 1.5 TDCi Titanium,Kochi,2017,30453,Diesel,Manual,First,22.77,1498,98.59,5,11.57,8.45,10.32393979,2.134166441,4.590969837,Ford,EcoSport
Ford Figo 1.2P Titanium MT,Pune,2016,54000,Petrol,Manual,First,18.16,1196,86.8,5,11.57,5,10.89673933,1.609437912,4.463606622,Ford,Figo
Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,First,11.5,2982,171,7,11.57,13,12.15477935,2.564949357,5.141663557,Toyota,Fortuner
Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,19.1,1197,85.8,5,11.57,4.7,11.08363374,1.547562509,4.452019006,Maruti,Swift
BMW 7 Series 740Li,Coimbatore,2018,28060,Petrol,Automatic,First,12.05,2979,320,5,11.57,93.67,10.24210035,4.539777967,5.768320996,BMW,7
Skoda Superb 1.8 TSI MT,Pune,2012,282000,Petrol,Manual,First,13.14,1798,160,5,11.57,3.3,12.54966235,1.193922468,5.075173815,Skoda,Superb
Maruti Wagon R LXI Minor,Jaipur,2009,111000,Petrol,Manual,Second,18.9,1061,67,5,11.57,1.51,11.61728548,0.412109651,4.204692619,Maruti,Wagon
Renault Duster 110PS Diesel RxZ,Kochi,2013,63295,Diesel,Manual,First,19.01,1461,108.45,5,11.57,6.09,11.05556162,1.806648082,4.686289237,Renault,Duster
Maruti Ciaz VXi Plus,Mumbai,2015,35770,Petrol,Manual,First,20.73,1373,91.1,5,11.57,5.95,10.48486483,1.78339122,4.511957804,Maruti,Ciaz
Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,22.7,1582,126.24,5,11.57,9,11.74346559,2.197224577,4.838184857,Hyundai,Elantra
Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,45000,Diesel,Automatic,First,21.66,1498,103.52,5,11.57,4.25,10.71441777,1.446918983,4.639764831,Skoda,Rapid
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,21000,Diesel,Automatic,First,14.84,2143,170,5,11.57,23.5,9.952277717,3.157000421,5.135798437,Mercedes-Benz,New
Honda Accord 2.4 A/T,Mumbai,2011,54774,Petrol,Automatic,First,11.7,2354,177.6,5,11.57,6.35,10.91097091,1.848454813,5.179533831,Honda,Accord
Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,First,23.1,998,67.04,5,11.57,3.4,10.62432285,1.223775432,4.205289456,Maruti,Celerio
BMW 7 Series 740Li,Bangalore,2017,17465,Petrol,Automatic,First,12.05,2979,320,5,11.57,93,9.767954157,4.532599493,5.768320996,BMW,7
BMW 3 Series 320d Sport,Chennai,2014,48000,Diesel,Automatic,First,22.69,1995,190,5,11.57,21.6,10.77895629,3.072693315,5.247024072,BMW,3
Volkswagen Vento Diesel Trendline,Chennai,2011,173000,Diesel,Manual,First,20.54,1598,103.6,5,11.57,4,12.06104687,1.386294361,4.64053733,Volkswagen,Vento
Maruti Swift Dzire Tour LDI,Pune,2018,12000,Diesel,Manual,First,23.4,1248,74,5,11.57,5.5,9.392661929,1.704748092,4.304065093,Maruti,Swift
Land Rover Freelander 2 SE,Mumbai,2012,34000,Diesel,Automatic,First,12.39,2179,147.51,5,11.57,19.25,10.4341158,2.957511061,4.99389597,Land,Rover
Hyundai i20 1.4 CRDi Magna,Hyderabad,2012,71360,Diesel,Manual,First,21.9,1396,90,5,11.57,3.95,11.17549277,1.373715579,4.49980967,Hyundai,i20
Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,28.4,1248,73.75,5,8.94,4.25,11.21182037,1.446918983,4.300680995,Maruti,Dzire
Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,First,17.1,1956,170,5,21.38,17.02,10.27287633,2.834389123,5.135798437,Jeep,Compass
Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,First,20.77,1248,88.76,7,11.57,6.5,11.31551057,1.871802177,4.485936098,Maruti,Ertiga
Ford Figo Petrol ZXI,Bangalore,2011,68465,Petrol,Manual,First,15.6,1196,70,5,11.57,2.95,11.13407794,1.08180517,4.248495242,Ford,Figo
Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,Diesel,Manual,First,21.43,1364,86.79,5,19.27,7.12,11.06435451,1.962907725,4.463491408,Toyota,Corolla
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,Diesel,Automatic,First,24.3,1248,88.5,5,12.88,11.25,8.006367568,2.420368129,4.483002552,Maruti,Vitara
Honda City 1.5 S MT,Delhi,2009,65055,Petrol,Manual,First,17,1497,118,5,11.57,2.75,11.08298834,1.011600912,4.770684624,Honda,City
Mahindra Scorpio S10 4WD,Hyderabad,2015,120000,Diesel,Manual,First,15.4,2179,120,7,11.57,12,11.69524702,2.48490665,4.787491743,Mahindra,Scorpio
Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,First,20.14,1197,81.86,5,8.27,3.67,11.07039692,1.300191662,4.405010471,Hyundai,Xcent
Mercedes-Benz E-Class 220 CDI,Pune,2001,121000,Diesel,Manual,First,15,2148,94,5,11.57,5,11.70354582,1.609437912,,Mercedes-Benz,E-Class
Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,2200,Petrol,Manual,First,15.7,1390,75,5,11.57,2.3,7.696212639,0.832909123,4.317488114,Mahindra,Renault
Skoda Octavia 1.9 TDI,Pune,2008,88123,Diesel,Manual,First,18.7,1896,66,5,11.57,2.2,11.38648884,0.78845736,4.189654742,Skoda,Octavia
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2014,79000,Diesel,Automatic,First,12,2987,224,7,11.57,41,11.27720313,3.713572067,5.411646052,Mercedes-Benz,GL-Class
BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,First,20.68,1995,190,5,48.18,28.5,10.24505393,3.349904087,5.247024072,BMW,X1
Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,2015,23001,Petrol,Manual,First,15.04,1598,103.2,5,11.57,5.49,10.04329297,1.702928256,4.636668853,Volkswagen,Vento
Audi A4 2.0 TDI,Ahmedabad,2013,82002,Diesel,Automatic,Second,16.55,1968,147.51,5,11.57,17.5,11.31449892,2.862200881,4.99389597,Audi,A4
Ford Ikon 1.4 TDCi DuraTorq,Bangalore,2009,75000,Diesel,Manual,First,13.8,1399,68,5,11.57,1.99,11.22524339,0.688134639,4.219507705,Ford,Ikon
Hyundai Verna 1.6 CRDi EX MT,Kochi,2016,37451,Diesel,Manual,First,22.32,1582,126.3,5,11.57,6.64,10.53078869,1.893111963,4.838660029,Hyundai,Verna
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,First,13.68,2393,147.8,7,22.87,16.5,11.1124479,2.803360381,4.995860009,Toyota,Innova
Hyundai Grand i10 Asta Option,Pune,2016,25000,Petrol,Manual,First,18.9,1197,82,5,11.57,5,10.1266311,1.609437912,4.406719247,Hyundai,Grand
Volkswagen Ameo 1.2 MPI Comfortline,Mumbai,2017,12000,Petrol,Manual,First,17,1198,73.75,5,11.57,5.4,9.392661929,1.686398954,4.300680995,Volkswagen,Ameo
Renault KWID RXT,Kolkata,2017,25000,Petrol,Manual,First,25.17,799,53.3,5,11.57,2.99,10.1266311,1.095273387,3.975936331,Renault,KWID
Honda City 1.5 S MT,Jaipur,2011,95936,Petrol,Manual,First,17,1497,118,5,11.57,4.1,11.47143658,1.410986974,4.770684624,Honda,City
Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,First,18.9,1197,81.86,5,7.37,6.76,8.585599224,1.91102289,4.405010471,Hyundai,Grand
Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,Second,18.78,999,75,5,7.33,5.5,10.6454249,1.704748092,4.317488114,Volkswagen,Polo
Maruti Swift VDI BSIV,Coimbatore,2014,44282,Diesel,Manual,First,25.2,1248,74,5,11.57,5.99,10.69833355,1.790091412,4.304065093,Maruti,Swift
Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,70000,Diesel,Manual,First,21.64,1461,84.8,5,11.57,2.59,11.15625052,0.951657876,4.440295543,Nissan,Sunny
Jaguar XF 2.2 Litre Luxury,Mumbai,2013,31400,Diesel,Automatic,First,16.36,2179,187.7,5,11.57,26.75,10.35456317,3.286534473,5.234844944,Jaguar,XF
Maruti Ciaz ZDi SHVS,Pune,2016,50000,Diesel,Manual,First,28.09,1248,88.5,5,11.57,8.5,10.81977828,2.140066163,4.483002552,Maruti,Ciaz
Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,53000,Diesel,Automatic,First,12.8,1968,167.6,5,11.57,23,10.87804719,3.135494216,5.121580188,Audi,Q5
Ford Figo Petrol ZXI,Pune,2014,21727,Petrol,Manual,First,15.6,1196,70.02,5,11.57,3.35,9.986311006,1.208960346,4.248780916,Ford,Figo
Hyundai Santa Fe 4x4 AT,Bangalore,2012,43000,Diesel,Automatic,Second,11.72,2199,194.3,7,11.57,10.75,10.66895539,2.374905755,5.269403356,Hyundai,Santa
Mahindra Scorpio VLX 2WD AIRBAG BSIV,Kolkata,2013,75000,Diesel,Manual,First,12.05,2179,120,8,11.57,6.29,11.22524339,1.838961071,4.787491743,Mahindra,Scorpio
Renault Duster 110PS Diesel RxL,Bangalore,2014,73557,Diesel,Manual,First,19.6,1461,108.45,5,11.57,7.75,11.20581589,2.047692843,4.686289237,Renault,Duster
Audi A4 New 2.0 TDI Multitronic,Delhi,2012,44555,Diesel,Automatic,First,15.2,1968,140.8,5,11.57,13.5,10.70447966,2.602689685,4.947340444,Audi,A4
Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,First,15.1,1196,73,7,4.98,3.75,10.91299537,1.32175584,4.290459441,Maruti,Eeco
Mahindra Xylo E4,Mumbai,2011,76000,Diesel,Manual,Second,14,2498,112,7,11.57,3.75,11.23848862,1.32175584,4.718498871,Mahindra,Xylo
Maruti Wagon R LXI,Jaipur,2006,101000,Petrol,Manual,Second,18.9,998,67.1,5,11.57,1.5,11.5228758,0.405465108,4.206184044,Maruti,Wagon
Maruti Wagon R LXI BSIII,Chennai,2005,66000,Petrol,Manual,First,14,1061,64,5,11.57,1.45,11.09741002,0.371563556,4.158883083,Maruti,Wagon
Maruti SX4 ZXI MT BSIV,Coimbatore,2013,84360,Petrol,Manual,First,15.5,1586,103.3,5,11.57,4.12,11.34284863,1.415853163,4.637637376,Maruti,SX4
Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,First,13.68,2393,147.8,7,23.06,17.11,10.13145943,2.839663088,4.995860009,Toyota,Innova
Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,100000,Diesel,Manual,Second,12.99,2494,100.6,7,11.57,10.25,11.51292546,2.327277706,4.611152258,Toyota,Innova
Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66035,Diesel,Manual,First,22.07,1199,73.9,5,11.57,2.49,11.09794018,0.91228271,4.302712828,Volkswagen,Polo
Toyota Etios G,Pune,2015,190000,Petrol,Manual,Second,16.78,1496,88.73,5,11.57,3.85,12.15477935,1.348073148,4.485598051,Toyota,Etios
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,85670,Diesel,Manual,First,22.7,1498,89.84,5,11.57,6.25,11.35825798,1.832581464,4.49803031,Ford,Ecosport
Hyundai Grand i10 CRDi Magna,Hyderabad,2015,35000,Diesel,Manual,First,24,1120,70,5,11.57,4.88,10.46310334,1.58514522,4.248495242,Hyundai,Grand
Honda City i VTEC CVT SV,Mumbai,2016,8000,Petrol,Automatic,First,18,1497,117.3,5,11.57,9.45,8.987196821,2.246014742,4.764734756,Honda,City
Toyota Innova 2.5 G3,Hyderabad,2007,162000,Diesel,Manual,Second,12.8,2494,102,8,11.57,4.8,11.99535161,1.568615918,4.624972813,Toyota,Innova
Hyundai EON Era Plus,Kolkata,2012,60000,Petrol,Manual,First,21.1,814,55.2,5,11.57,1.99,11.00209984,0.688134639,4.010962953,Hyundai,EON
Hyundai i10 Magna 1.2,Hyderabad,2010,70600,Petrol,Manual,First,20.36,1197,78.9,5,11.57,2.8,11.16478542,1.029619417,4.368181228,Hyundai,i10
Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance,Bangalore,2011,25000,Petrol,Automatic,Second,12.3,1796,185,5,11.57,22,10.1266311,3.091042453,5.220355825,Mercedes-Benz,E-Class
Mahindra Bolero SLE,Hyderabad,2012,75000,Diesel,Manual,First,15.96,2523,62.1,7,10.32,4.3,11.22524339,1.458615023,4.128745989,Mahindra,Bolero
Skoda Laura Ambition 2.0 TDI CR AT,Coimbatore,2014,85071,Diesel,Automatic,First,20,1968,138.1,5,11.57,9.75,11.35124148,2.277267285,4.92797806,Skoda,Laura
Maruti Swift ZXI,Ahmedabad,2015,40000,Petrol,Manual,First,20.4,1197,81.8,5,11.57,5.9,10.59663473,1.774952351,4.404277244,Maruti,Swift
Audi A4 2.0 TDI,Delhi,2013,67000,Diesel,Automatic,First,16.55,1968,147.51,5,11.57,14.5,11.1124479,2.674148649,4.99389597,Audi,A4
Ford Fiesta 1.4 SXi TDCi ABS,Hyderabad,2009,55000,Diesel,Manual,Second,17.8,1399,68,5,11.57,2.4,10.91508846,0.875468737,4.219507705,Ford,Fiesta
Maruti SX4 Vxi BSIII,Mumbai,2008,62000,Petrol,Manual,Second,15,1586,104.68,5,11.57,2.11,11.03488966,0.746687947,4.650908078,Maruti,SX4
Hyundai Grand i10 AT Asta,Coimbatore,2017,22526,Petrol,Automatic,First,18.9,1197,82,5,11.57,7.6,10.02242548,2.028148247,4.406719247,Hyundai,Grand
Maruti Ritz AT,Hyderabad,2012,57788,Petrol,Automatic,First,17.16,1197,85.8,5,11.57,3.6,10.96453642,1.280933845,4.452019006,Maruti,Ritz
Mahindra Scorpio 2.6 CRDe,Jaipur,2013,72000,Diesel,Manual,First,10.5,2179,120,8,11.57,6,11.1844214,1.791759469,4.787491743,Mahindra,Scorpio
Mahindra Scorpio S4 7 Seater,Mumbai,2014,83128,Diesel,Manual,First,15.4,2179,120,7,11.57,7.45,11.32813687,2.008214032,4.787491743,Mahindra,Scorpio
Maruti Alto LXi,Chennai,2011,75000,Petrol,Manual,First,19.7,796,46.3,5,11.57,2.1,11.22524339,0.741937345,3.835141961,Maruti,Alto
Renault Duster 110PS Diesel RxZ,Ahmedabad,2013,58000,Diesel,Manual,Second,19.01,1461,108.45,5,11.57,5.2,10.96819829,1.648658626,4.686289237,Renault,Duster
Mahindra Jeep MM 550 PE,Hyderabad,2009,26000,Diesel,Manual,First,0,2498,94,6,11.57,6.99,10.16585182,1.944480556,,Mahindra,Jeep
Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,Petrol,Manual,First,20.89,1197,81.8,5,7.87,6.36,6.907755279,1.850028377,4.404277244,Maruti,Ignis
Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,2015,59751,Diesel,Manual,First,12.99,2494,100.6,7,11.57,11.62,10.99794121,2.452727751,4.611152258,Toyota,Innova
BMW 7 Series 730Ld Eminence,Kochi,2015,29966,Diesel,Automatic,Second,16.77,2993,261.49,5,140,43.6,10.30781868,3.77505715,5.566396042,BMW,7
Hyundai Sonata Embera 2.0L CRDi MT,Kolkata,2009,65000,Diesel,Manual,Second,13.6,1991,142,5,11.57,4.9,11.08214255,1.589235205,4.955827058,Hyundai,Sonata
Renault Duster Adventure Edition,Kochi,2015,75863,Diesel,Manual,First,19.01,1461,108.45,5,11.57,6.7,11.23668436,1.902107526,4.686289237,Renault,Duster
Maruti Wagon R CNG LXI,Mumbai,2013,54000,CNG,Manual,First,33.54,998,67.04,5,5.58,3.05,10.89673933,1.115141591,4.205289456,Maruti,Wagon
Audi A4 2.0 TDI 177 Bhp Technology Edition,Bangalore,2014,24000,Diesel,Automatic,First,17.11,1968,174.33,5,11.57,25,10.08580911,3.218875825,5.160950055,Audi,A4
Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,Diesel,Manual,First,17.1,1956,170,5,22.46,19.05,10.41084718,2.947067102,5.135798437,Jeep,Compass
Hyundai Verna 1.4 VTVT,Kolkata,2015,33425,Petrol,Manual,First,17.43,1396,105.5,5,11.57,4.5,10.4170594,1.504077397,4.658710953,Hyundai,Verna
Honda Amaze VX i-Vtech,Pune,2013,47000,Petrol,Manual,First,18,1198,86.7,5,11.57,4.15,10.75790288,1.423108334,4.462453884,Honda,Amaze
Hyundai Creta 1.6 CRDi SX Option,Chennai,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,11.57,11.9,10.62132735,2.4765384,4.83786795,Hyundai,Creta
Hyundai i10 Magna 1.1,Delhi,2011,62000,Petrol,Manual,First,19.81,1086,68.05,5,11.57,2.1,11.03488966,0.741937345,4.220242729,Hyundai,i10
Mahindra TUV 300 T8,Delhi,2016,47035,Diesel,Manual,First,18.49,1493,100,7,11.57,6.95,10.75864728,1.93874166,4.605170186,Mahindra,TUV
Maruti Swift Dzire VXi,Pune,2008,56230,Petrol,Manual,Second,17.5,1298,85.8,5,11.57,2.4,10.9372057,0.875468737,4.452019006,Maruti,Swift
Hyundai Accent GLE 1,Chennai,2007,55000,Petrol,Manual,First,13.2,1495,94,5,11.57,2.65,10.91508846,0.97455964,4.543294782,Hyundai,Accent
Mahindra XUV500 W8 2WD,Jaipur,2014,70669,Diesel,Manual,First,15.1,2179,140,7,11.57,9,11.16576228,2.197224577,4.941642423,Mahindra,XUV500
Maruti Alto K10 2010-2014 VXI,Pune,2012,69000,Petrol,Manual,First,20.92,998,67.1,5,11.57,2.1,11.14186178,0.741937345,4.206184044,Maruti,Alto
Chevrolet Beat LT,Pune,2011,65000,Petrol,Manual,Second,18.6,1199,79.4,5,11.57,2.5,11.08214255,0.916290732,4.374498368,Chevrolet,Beat
Audi A6 2.7 TDI,Mumbai,2009,30000,Diesel,Automatic,First,12.4,2698,179.5,5,11.57,8.95,10.30895266,2.191653532,5.190175208,Audi,A6
Mini Cooper 5 DOOR D,Hyderabad,2017,2000,Diesel,Automatic,First,20.7,1496,113.98,5,42.48,34,7.60090246,3.526360525,4.736022994,Mini,Cooper
Maruti Swift 1.3 LXI,Pune,2011,24255,Petrol,Manual,First,16.1,1493,94,5,11.57,3.15,10.09637806,1.147402453,,Maruti,Swift
Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,Petrol,Manual,First,17.57,1193,88.7,5,7.69,4,10.59663473,1.386294361,4.485259889,Tata,Zest
Honda City i DTEC SV,Kolkata,2014,40000,Diesel,Manual,First,26,1498,98.6,5,11.57,4.45,10.59663473,1.492904096,4.591071262,Honda,City
Chevrolet Beat LT,Jaipur,2010,26000,Petrol,Manual,First,18.6,1199,79.4,5,11.57,1.5,10.16585182,0.405465108,4.374498368,Chevrolet,Beat
Audi A4 2.0 TDI Multitronic,Jaipur,2011,105000,Diesel,Automatic,Second,16.55,1968,140,5,11.57,14.5,11.56171563,2.674148649,4.941642423,Audi,A4
Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,Diesel,Manual,First,26.1,1498,99,5,9.4,8.41,7.937374696,2.129421474,4.59511985,Ford,Aspire
Hyundai Verna SX CRDi AT,Mumbai,2014,71000,Diesel,Automatic,Second,19.08,1582,126.32,5,11.57,5.45,11.17043516,1.695615609,4.83881837,Hyundai,Verna
